track_name,artist_names,release_date,duration_ms,popularity,explicit,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit_year,release_year,hit
Blinding Lights,The Weeknd,2019-11-29,201573,22,False,2024-02-01T17:29:31Z,unknown,0.512,0.796,1,-4.075,1,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4,2020,2019,0
The Box,Roddy Ricch,2019-12-06,196652,82,True,2024-02-01T17:29:31Z,melodic rap,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,4,2020,2019,1
positions,Ariana Grande,2020-10-23,172324,0,True,2024-02-01T17:29:31Z,pop,0.736,0.802,0,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,4,2020,2020,0
ROXANNE,Arizona Zervas,2019-10-10,163636,75,True,2024-02-01T17:29:31Z,unknown,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,5,2020,2019,1
death bed (coffee for your head),Powfu;beabadoobee,2020-02-08,173333,82,False,2024-02-01T17:29:31Z,bedroom pop,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,2020,2020,1
cardigan,Taylor Swift,2020-07-24,239560,49,False,2024-02-01T17:29:31Z,unknown,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4,2020,2020,0
What You Know Bout Love,Pop Smoke,2020-07-03,160000,77,True,2024-02-01T17:29:31Z,"brooklyn drill,new york drill,drill",0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4,2020,2020,1
Say So,Doja Cat,2019-11-07,237894,78,True,2024-02-01T17:29:31Z,unknown,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,4,2020,2019,1
Watermelon Sugar,Harry Styles,2019-12-13,173991,83,False,2024-02-01T17:29:31Z,unknown,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4,2020,2019,1
Don't Start Now,Dua Lipa,2019-10-31,183290,73,False,2024-02-01T17:29:31Z,pop,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,4,2020,2019,1
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money;Gunna;Don Toliver;NAV,2020-08-29,195428,0,True,2024-02-01T17:29:31Z,melodic rap,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,4,2020,2020,0
everything i wanted,Billie Eilish,2019-11-13,245425,84,False,2024-02-01T17:29:31Z,unknown,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4,2020,2019,1
Falling,Trevor Daniel,2018-10-05,159381,70,False,2024-08-20T12:59:41Z,unknown,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,4,2020,2018,1
DÁKITI,Bad Bunny;JHAYCO,2020-10-30,205090,78,True,2024-02-01T17:29:31Z,"reggaeton,trap latino,urbano latino,latin",0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,2020,2020,1
ROCKSTAR (feat. Roddy Ricch),DaBaby;Roddy Ricch,2020-04-17,181733,74,True,2024-02-01T17:29:31Z,melodic rap,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,4,2020,2020,1
Blueberry Faygo,Lil Mosey,2020-02-06,162546,70,True,2024-02-01T17:29:31Z,melodic rap,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,4,2020,2020,1
Mood (feat. iann dior),24kGoldn;iann dior,2020-07-24,140525,6,True,2024-02-01T17:29:31Z,melodic rap,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,4,2020,2020,0
