Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,hit_year
spotify:track:0sf12qNH5qcw8qpgymFOqD,Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,201573,22,False,nick170708!,2024-02-01T17:29:31Z,,Republic Records,0.512,0.796,1,-4.075,1,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4,2020
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,12/6/2019,196652,82,True,nick170708!,2024-02-01T17:29:31Z,melodic rap,Atlantic Records,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,4,2020
spotify:track:7igeByaBM0MgGsgXtNxDJ7,positions,positions,Ariana Grande,10/23/2020,172324,0,True,nick170708!,2024-02-01T17:29:31Z,pop,Republic Records,0.736,0.802,0,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,4,2020
spotify:track:696DnlkuDOXcMAnKlTgXXK,ROXANNE,ROXANNE,Arizona Zervas,10/10/2019,163636,75,True,nick170708!,2024-02-01T17:29:31Z,,Arizona Zervas,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,5,2020
spotify:track:7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),death bed (coffee for your head),Powfu;beabadoobee,2/8/2020,173333,82,False,nick170708!,2024-02-01T17:29:31Z,bedroom pop,Columbia,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,2020
spotify:track:4LEK9rD7TWIG4FCL1s27XC,cardigan,folklore,Taylor Swift,7/24/2020,239560,49,False,nick170708!,2024-02-01T17:29:31Z,,Taylor Swift,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4,2020
spotify:track:1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,160000,77,True,nick170708!,2024-02-01T17:29:31Z,"brooklyn drill,new york drill,drill",Victor Victor Worldwide,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4,2020
spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Say So,Hot Pink,Doja Cat,11/7/2019,237894,78,True,nick170708!,2024-02-01T17:29:31Z,,Kemosabe Records/RCA Records,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,4,2020
spotify:track:6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,Harry Styles,12/13/2019,173991,83,False,nick170708!,2024-02-01T17:29:31Z,,Columbia,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4,2020
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,183290,73,False,nick170708!,2024-02-01T17:29:31Z,pop,Warner Records,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,4,2020
spotify:track:2DQNYMRjisN3KAPj1bEwOI,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money;Gunna;Don Toliver;NAV,8/29/2020,195428,0,True,nick170708!,2024-02-01T17:29:31Z,melodic rap,Internet Money Records/ TenThousand Projects,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,4,2020
spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,everything i wanted,Billie Eilish,11/13/2019,245425,84,False,nick170708!,2024-02-01T17:29:31Z,,Darkroom/Interscope Records,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4,2020
spotify:track:26XaOsDMbl0e1cVKYfkz6w,Falling,Falling,Trevor Daniel,10/5/2018,159381,70,False,nick170708!,2024-08-20T12:59:41Z,,Alamo,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,4,2020
spotify:track:47EiUVwUp4C9fGccaPuUCS,DÁKITI,DÁKITI,Bad Bunny;JHAYCO,10/30/2020,205090,78,True,nick170708!,2024-02-01T17:29:31Z,"reggaeton,trap latino,urbano latino,latin",Rimas Entertainment LLC,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,2020
spotify:track:7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby;Roddy Ricch,4/17/2020,181733,74,True,nick170708!,2024-02-01T17:29:31Z,melodic rap,South Coast Music Group/Interscope Records,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,4,2020
spotify:track:22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,Certified Hitmaker,Lil Mosey,2/6/2020,162546,70,True,nick170708!,2024-02-01T17:29:31Z,melodic rap,Mogul Vision/Interscope Records,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,4,2020
spotify:track:3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn;iann dior,7/24/2020,140525,6,True,nick170708!,2024-02-01T17:29:31Z,melodic rap,Records/Columbia,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,4,2020
spotify:track:4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B;Megan Thee Stallion,8/7/2020,187541,75,True,nick170708!,2024-02-01T17:29:31Z,,Atlantic/KSR,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4,2020
spotify:track:5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),Positions,Ariana Grande;Doja Cat,10/30/2020,167989,73,True,nick170708!,2024-02-01T17:29:31Z,pop,Republic Records,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,4,2020
spotify:track:24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga;Ariana Grande,5/22/2020,182200,69,False,nick170708!,2024-02-01T17:29:31Z,"art pop,pop",Interscope Records,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,4,2020
spotify:track:0v1x6rN6JHRapa03JElljE,Dynamite,Dynamite,BTS,8/21/2020,199053,2,False,nick170708!,2024-02-01T17:29:31Z,k-pop,2020 BigHit Entertainment,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4,2020
spotify:track:3jjujdWJ72nww5eGnfs2E7,Adore You,Fine Line,Harry Styles,12/13/2019,207139,79,False,nick170708!,2024-02-01T17:29:31Z,,Columbia,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,2020
